PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
Kevin Durant,1,21300014,10/30/2013,1610612760,OKC,Oklahoma City,201142,F,,39:09:00,9,24,0.375,2,8,0.25,22,24,0.917,0,6,6,1,3,0,5,1,42,3
Kevin Durant,1,21300027,11/1/2013,1610612760,OKC,Oklahoma City,201142,F,,27:07:00,4,11,0.364,1,5,0.2,4,5,0.8,0,4,4,1,0,2,4,3,13,-20
Kevin Durant,1,21300044,11/3/2013,1610612760,OKC,Oklahoma City,201142,F,,39:42:00,10,19,0.526,2,5,0.4,11,13,0.846,1,9,10,1,2,0,3,1,33,3
Kevin Durant,1,21300069,11/6/2013,1610612760,OKC,Oklahoma City,201142,F,,36:53:00,7,16,0.438,1,2,0.5,8,9,0.889,1,2,3,10,2,0,5,2,23,6
Kevin Durant,1,21300078,11/8/2013,1610612760,OKC,Oklahoma City,201142,F,,44:00:00,9,15,0.6,2,3,0.667,17,19,0.895,2,6,8,7,3,1,3,3,37,6
Kevin Durant,1,21300095,11/10/2013,1610612760,OKC,Oklahoma City,201142,F,,46:08:00,12,23,0.522,1,4,0.25,8,9,0.889,3,10,13,6,0,1,5,3,33,1
Kevin Durant,1,21300122,11/13/2013,1610612760,OKC,Oklahoma City,201142,F,,41:49:00,8,18,0.444,2,6,0.333,15,17,0.882,1,5,6,10,2,0,5,4,33,-9
Kevin Durant,1,21300124,11/14/2013,1610612760,OKC,Oklahoma City,201142,F,,41:54:00,5,13,0.385,2,6,0.333,8,9,0.889,1,6,7,8,0,0,5,5,20,-2
Kevin Durant,1,21300144,11/16/2013,1610612760,OKC,Oklahoma City,201142,F,,37:20:00,7,15,0.467,3,5,0.6,7,7,1,1,4,5,2,1,0,3,1,24,3
Kevin Durant,1,21300152,11/18/2013,1610612760,OKC,Oklahoma City,201142,F,,42:47:00,11,27,0.407,3,9,0.333,13,16,0.813,3,5,8,6,1,1,3,2,38,5
Kevin Durant,1,21300174,11/21/2013,1610612760,OKC,Oklahoma City,201142,F,,38:35:00,10,19,0.526,2,5,0.4,6,9,0.667,0,6,6,8,1,0,1,0,28,9
Kevin Durant,1,21300200,11/24/2013,1610612760,OKC,Oklahoma City,201142,F,,26:21:00,3,9,0.333,1,1,1,12,13,0.923,0,9,9,2,2,0,3,1,19,27
Kevin Durant,1,21300224,11/27/2013,1610612760,OKC,Oklahoma City,201142,F,,38:10:00,10,23,0.435,1,5,0.2,3,3,1,0,13,13,4,0,0,6,1,24,6
Kevin Durant,1,21300235,11/29/2013,1610612760,OKC,Oklahoma City,201142,F,,43:46:00,7,22,0.318,0,2,0,11,12,0.917,0,13,13,5,0,2,4,3,25,1
Kevin Durant,1,21300253,12/1/2013,1610612760,OKC,Oklahoma City,201142,F,,44:10:00,14,21,0.667,3,4,0.75,1,2,0.5,2,8,10,12,4,4,2,3,32,9
Kevin Durant,1,21300267,12/3/2013,1610612760,OKC,Oklahoma City,201142,F,,38:58:00,8,21,0.381,1,4,0.25,10,10,1,0,11,11,3,2,1,1,3,27,2
