PLAYER_NAME,Rank,GAME_ID,Date Played,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
Stephen Curry,1,21500003,10/27/2015,1610612744,GSW,Golden State,201939,G,,35:37:00,14,26,0.538,5,12,0.417,7,7,1,3,3,6,7,2,0,2,1,40,12
Stephen Curry,1,21500030,10/30/2015,1610612744,GSW,Golden State,201939,G,,27:24:00,9,15,0.6,4,9,0.444,3,4,0.75,0,7,7,6,1,0,1,4,25,12
Stephen Curry,1,21500035,10/31/2015,1610612744,GSW,Golden State,201939,G,,35:38:00,17,27,0.63,8,14,0.571,11,11,1,0,4,4,9,4,0,2,3,53,16
Stephen Curry,1,21500051,11/2/2015,1610612744,GSW,Golden State,201939,G,,28:24:00,10,16,0.625,4,8,0.5,6,6,1,1,2,3,3,3,1,3,2,30,37
Stephen Curry,1,21500069,11/4/2015,1610612744,GSW,Golden State,201939,G,,32:38:00,8,17,0.471,7,11,0.636,8,9,0.889,0,5,5,4,1,0,0,3,31,7
Stephen Curry,1,21500083,11/6/2015,1610612744,GSW,Golden State,201939,G,,34:39:00,12,22,0.545,8,16,0.5,2,3,0.667,0,7,7,10,3,1,4,1,34,14
Stephen Curry,1,21500092,11/7/2015,1610612744,GSW,Golden State,201939,G,,39:08:00,8,18,0.444,2,10,0.2,6,7,0.857,1,5,6,3,2,0,6,1,24,6
Stephen Curry,1,21500104,11/9/2015,1610612744,GSW,Golden State,201939,G,,36:50:00,7,18,0.389,3,7,0.429,5,6,0.833,1,4,5,5,3,0,5,1,22,12
Stephen Curry,1,21500120,11/11/2015,1610612744,GSW,Golden State,201939,G,,34:30:00,9,21,0.429,3,10,0.3,7,7,1,0,5,5,5,5,1,4,1,28,16
Stephen Curry,1,21500125,11/12/2015,1610612744,GSW,Golden State,201939,G,,37:42:00,15,25,0.6,8,13,0.615,8,8,1,0,5,5,4,2,0,3,3,46,21
Stephen Curry,1,21500144,11/14/2015,1610612744,GSW,Golden State,201939,G,,43:45:00,13,31,0.419,5,16,0.313,3,3,1,0,3,3,6,1,0,4,1,34,3
Stephen Curry,1,21500164,11/17/2015,1610612744,GSW,Golden State,201939,G,,39:35:00,13,23,0.565,5,10,0.5,6,7,0.857,0,2,2,9,2,0,7,1,37,11
Stephen Curry,1,21500177,11/19/2015,1610612744,GSW,Golden State,201939,G,,36:46:00,11,22,0.5,6,14,0.429,12,12,1,0,11,11,4,3,0,7,2,40,12
Stephen Curry,1,21500187,11/20/2015,1610612744,GSW,Golden State,201939,G,,36:05:00,9,20,0.45,3,11,0.273,6,6,1,1,4,5,4,4,0,6,2,27,11
Stephen Curry,1,21500200,11/22/2015,1610612744,GSW,Golden State,201939,G,,27:37:00,8,16,0.5,3,8,0.375,0,0,0,0,4,4,7,3,0,4,0,19,11
Stephen Curry,1,21500214,11/24/2015,1610612744,GSW,Golden State,201939,G,,30:10:00,10,21,0.476,4,12,0.333,0,0,0,0,4,4,9,2,0,0,1,24,36
Stephen Curry,1,21500236,11/27/2015,1610612744,GSW,Golden State,201939,G,,30:39:00,11,20,0.55,9,16,0.563,10,11,0.909,1,5,6,8,2,0,6,2,41,27
Stephen Curry,1,21500245,11/28/2015,1610612744,GSW,Golden State,201939,G,,29:48:00,4,7,0.571,3,6,0.5,8,8,1,0,4,4,6,3,0,1,1,19,19
Stephen Curry,1,21500259,11/30/2015,1610612744,GSW,Golden State,201939,G,,37:16:00,9,20,0.45,4,8,0.5,4,4,1,2,4,6,5,2,0,2,2,26,12
Stephen Curry,1,21500268,12/2/2015,1610612744,GSW,Golden State,201939,G,,30:49:00,14,18,0.778,8,11,0.727,4,4,1,0,3,3,5,0,0,5,2,40,19
Stephen Curry,1,21500290,12/5/2015,1610612744,GSW,Golden State,201939,G,,37:51:00,14,24,0.583,9,15,0.6,7,9,0.778,1,1,2,7,0,0,3,4,44,15
Stephen Curry,1,21500300,12/6/2015,1610612744,GSW,Golden State,201939,G,,32:14:00,11,17,0.647,5,9,0.556,1,4,0.25,0,5,5,2,1,0,4,2,28,10
Stephen Curry,1,21500314,12/8/2015,1610612744,GSW,Golden State,201939,G,,35:39:00,11,23,0.478,3,10,0.3,4,6,0.667,0,7,7,10,3,0,4,1,29,18
