PLAYER_NAME,rank,GAME_ID,Date Played,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
James Harden,1,21700002,10/17/2017,1610612745,HOU,Houston,201935,G,,36:24:00,10,23,0.435,4,9,0.444,3,4,0.75,1,5,6,11,1,0,3,2,27,1
James Harden,1,21700013,10/18/2017,1610612745,HOU,Houston,201935,G,,37:46:00,8,21,0.381,4,14,0.286,7,8,0.875,2,1,3,9,2,0,2,1,27,1
James Harden,1,21700032,10/21/2017,1610612745,HOU,Houston,201935,G,,30:45:00,10,19,0.526,6,13,0.462,3,4,0.75,0,3,3,7,2,0,5,5,29,31
James Harden,1,21700043,10/23/2017,1610612745,HOU,Houston,201935,G,,35:08:00,8,20,0.4,2,8,0.25,4,8,0.5,1,4,5,8,1,0,7,4,22,-14
James Harden,1,21700057,10/25/2017,1610612745,HOU,Houston,201935,G,,41:26:00,10,20,0.5,2,8,0.25,5,5,1,0,3,3,13,1,3,8,1,27,9
James Harden,1,21700070,10/27/2017,1610612745,HOU,Houston,201935,G,,36:56:00,8,18,0.444,4,10,0.4,7,8,0.875,0,10,10,11,1,0,5,4,27,-1
James Harden,1,21700080,10/28/2017,1610612745,HOU,Houston,201935,G,,33:37:00,6,19,0.316,2,9,0.222,6,7,0.857,1,3,4,8,2,0,3,3,20,-12
James Harden,1,21700095,10/30/2017,1610612745,HOU,Houston,201935,G,,38:27:00,8,21,0.381,3,7,0.429,10,12,0.833,1,3,4,7,4,1,7,2,29,-12
James Harden,1,21700111,11/1/2017,1610612745,HOU,Houston,201935,G,,34:47:00,9,23,0.391,6,17,0.353,7,9,0.778,1,4,5,9,0,0,7,5,31,21
James Harden,1,21700123,11/3/2017,1610612745,HOU,Houston,201935,G,,30:56:00,8,15,0.533,6,11,0.545,7,10,0.7,1,2,3,11,1,0,2,0,29,19
James Harden,1,21700140,11/5/2017,1610612745,HOU,Houston,201935,G,,35:15:00,19,25,0.76,7,8,0.875,11,12,0.917,0,2,2,13,2,0,7,3,56,25
James Harden,1,21700166,11/9/2017,1610612745,HOU,Houston,201935,G,,42:41:00,8,21,0.381,6,14,0.429,13,14,0.929,1,10,11,13,5,1,5,4,35,3
James Harden,1,21700180,11/11/2017,1610612745,HOU,Houston,201935,G,,37:35:00,11,25,0.44,6,14,0.429,10,14,0.714,0,4,4,8,0,1,3,3,38,23
James Harden,1,21700190,11/12/2017,1610612745,HOU,Houston,201935,G,,33:34:00,9,21,0.429,3,12,0.25,5,5,1,0,5,5,15,2,0,3,1,26,25
James Harden,1,21700202,11/14/2017,1610612745,HOU,Houston,201935,G,,39:22:00,8,25,0.32,3,11,0.273,19,19,1,1,5,6,11,0,1,9,5,38,-2
James Harden,1,21700216,11/16/2017,1610612745,HOU,Houston,201935,G,,34:37:00,12,22,0.545,6,11,0.545,18,18,1,0,2,2,7,2,1,5,3,48,15
James Harden,1,21700232,11/18/2017,1610612745,HOU,Houston,201935,G,,35:47:00,9,20,0.45,6,12,0.5,5,5,1,0,5,5,7,3,0,3,3,29,5
James Harden,1,21700259,11/22/2017,1610612745,HOU,Houston,201935,G,,31:38:00,6,16,0.375,1,7,0.143,8,9,0.889,1,7,8,9,0,0,7,1,21,29
James Harden,1,21700282,11/25/2017,1610612745,HOU,Houston,201935,G,,36:52:00,12,27,0.444,5,13,0.385,8,10,0.8,0,2,2,10,3,0,1,1,37,2
